# t 	 Sigma_L 	 Sigma_R 	 ILR 
1.6560000000000001	1.1600000000000001	1.860000000000001	0.025974887828666658
1.657	1.1600000000000001	1.860000000000001	0.02621432942507991
1.6580000000000001	1.1600000000000001	1.860000000000001	0.026456483602386706
1.659	1.1600000000000001	1.860000000000001	0.02670135036058681
1.6600000000000001	1.1600000000000001	1.860000000000001	0.026948929699680435
1.661	1.1600000000000001	1.860000000000001	0.027199221619667424
1.6620000000000001	1.1600000000000001	1.860000000000001	0.027452226120547894
1.663	1.1600000000000001	1.860000000000001	0.02770794320232174
1.6640000000000001	1.1600000000000001	1.860000000000001	0.02796637286498901
1.665	1.1600000000000001	1.860000000000001	0.028227515108549737
1.666	1.1600000000000001	1.860000000000001	0.02849136993300383
1.667	1.1600000000000001	1.860000000000001	0.02875793733835144
1.668	1.1600000000000001	1.880000000000001	0.007285146639664668
1.669	1.1600000000000001	1.880000000000001	0.007494482325472625
1.67	1.1600000000000001	1.880000000000001	0.007706207575295929
1.671	1.1600000000000001	1.880000000000001	0.007920322389134538
1.672	1.1600000000000001	1.880000000000001	0.00813682676698848
1.673	1.1600000000000001	1.880000000000001	0.008355720708857622
1.674	1.1600000000000001	1.880000000000001	0.008577004214742036
1.675	1.1600000000000001	1.900000000000001	0.023316691046307014
1.676	1.1600000000000001	1.900000000000001	0.02349670340237718
1.677	1.1600000000000001	1.900000000000001	0.02367942833934085
1.678	1.1600000000000001	1.900000000000001	0.02386486585719784
1.679	1.1600000000000001	1.900000000000001	0.0240530159559484
1.68	1.1600000000000001	1.900000000000001	0.024243878635592304
1.681	1.1600000000000001	1.900000000000001	0.02443745389612966
1.682	1.1600000000000001	1.900000000000001	0.024633741737560375
1.683	1.1600000000000001	1.900000000000001	0.024832742159884617
1.684	1.1600000000000001	1.900000000000001	0.025034455163102202
1.685	1.1600000000000001	1.900000000000001	0.0252388807472132
1.686	1.1600000000000001	1.900000000000001	0.02544601891221772
1.687	1.1600000000000001	1.900000000000001	0.02565586965811554
1.688	1.1600000000000001	1.900000000000001	0.025868432984906875
1.689	1.1600000000000001	1.900000000000001	0.02608370889259156
1.69	1.1600000000000001	1.900000000000001	0.02630169738116981
1.691	1.1600000000000001	1.900000000000001	0.02652239845064134
1.692	1.1600000000000001	1.900000000000001	0.0267458121010064
1.693	1.1600000000000001	1.900000000000001	0.02697193833226482
1.694	1.1600000000000001	1.900000000000001	0.02720077714441669
1.695	1.1600000000000001	1.900000000000001	0.027432328537462004
1.696	1.1600000000000001	1.900000000000001	0.027666592511400606
1.697	1.1600000000000001	1.900000000000001	0.027903569066232828
1.698	1.1600000000000001	1.900000000000001	0.02814325820195842
1.699	1.1600000000000001	1.900000000000001	0.02838565991857741
1.7	1.1600000000000001	1.900000000000001	0.028630774216089873
1.701	1.1600000000000001	1.900000000000001	0.028878601094495686
1.702	1.1600000000000001	1.900000000000001	0.02912914055379502
1.703	1.1600000000000001	1.900000000000001	0.029382392593987672
1.704	1.1600000000000001	1.900000000000001	0.029638357215073817
1.705	1.1600000000000001	1.900000000000001	0.02989703441705332
1.706	1.1600000000000001	1.920000000000001	0.013247861444666997
1.707	1.1800000000000002	1.920000000000001	-0.02315171749374975
1.708	1.1800000000000002	1.920000000000001	-0.02301420112107279
1.709	1.1800000000000002	1.920000000000001	-0.022873972167502615
1.71	1.1800000000000002	1.920000000000001	-0.02273103063303896
1.711	1.1800000000000002	1.920000000000001	-0.02258537651768181
1.712	1.1800000000000002	1.920000000000001	-0.022437009821431285
1.713	1.1800000000000002	1.920000000000001	-0.02228593054428734
