# t 	 SC 	 SH 	 IHC 
2.803	4.314999999999994	10.059999999999995	-0.1930059527327614
2.8040000000000003	4.314999999999994	10.064999999999996	-0.20210112607498124
2.805	4.314999999999994	10.069999999999997	-0.20059723052914125
2.806	4.314999999999994	10.079999999999997	-0.1753697684531581
2.807	4.319999999999995	10.084999999999996	-0.1710129364222624
2.8080000000000003	4.319999999999995	10.084999999999996	-0.1715812418872465
2.809	4.319999999999995	10.084999999999996	-0.17214101069518442
2.81	4.319999999999995	10.089999999999995	-0.18920192532900748
2.811	4.319999999999995	10.094999999999995	-0.19610876512352562
2.8120000000000003	4.319999999999995	10.094999999999995	-0.19660092564789636
2.813	4.319999999999995	10.094999999999995	-0.19708454951522086
2.814	4.319999999999995	10.094999999999995	-0.1975596367254992
2.815	4.319999999999995	10.094999999999995	-0.19802618727873184
2.816	4.329999999999995	10.099999999999996	-0.19422531223907435
2.817	4.334999999999995	10.109999999999996	-0.18132533725650402
2.818	4.334999999999995	10.114999999999995	-0.18765128645737425
2.819	4.334999999999995	10.114999999999995	-0.18813398210695853
2.82	4.334999999999995	10.114999999999995	-0.18860795946849596
2.821	4.344999999999994	10.119999999999996	-0.19489713761939176
2.822	4.344999999999994	10.124999999999995	-0.20873963722124245
2.823	4.344999999999994	10.124999999999995	-0.2093394542038631
2.824	4.344999999999994	10.124999999999995	-0.20993055289843654
2.825	4.344999999999994	10.124999999999995	-0.21051293330496273
2.826	4.344999999999994	10.129999999999995	-0.196838770549465
2.827	4.349999999999995	10.129999999999995	-0.18481684397921663
2.828	4.354999999999995	10.129999999999995	-0.19561144270317074
2.829	4.354999999999995	10.139999999999995	-0.18329966440535078
2.83	4.359999999999995	10.149999999999995	-0.15324997923035177
2.831	4.359999999999995	10.154999999999996	-0.16176387042363696
2.832	4.359999999999995	10.159999999999997	-0.1495709125245705
2.833	4.359999999999995	10.159999999999997	-0.150039477124367
2.834	4.359999999999995	10.159999999999997	-0.15049896017411485
2.835	4.359999999999995	10.159999999999997	-0.15094936167381334
2.836	4.359999999999995	10.169999999999996	-0.18126232322235225
2.837	4.359999999999995	10.169999999999996	-0.18172004803172823
2.838	4.359999999999995	10.169999999999996	-0.18216832802905336
2.839	4.359999999999995	10.174999999999997	-0.16851173934516506
2.84	4.359999999999995	10.179999999999996	-0.1688440317885408
2.841	4.359999999999995	10.179999999999996	-0.1692298682459259
2.842	4.359999999999995	10.179999999999996	-0.16960625989126013
2.843	4.359999999999995	10.179999999999996	-0.16997320672454347
2.844	4.359999999999995	10.184999999999997	-0.1848880367847648
2.845	4.359999999999995	10.184999999999997	-0.18515817111050337
2.846	4.359999999999995	10.189999999999998	-0.18743081803224876
2.847	4.359999999999995	10.189999999999998	-0.1876486035021987
2.848	4.359999999999995	10.189999999999998	-0.18785730742209963
2.849	4.359999999999995	10.199999999999998	-0.19328547953945333
2.85	4.359999999999995	10.209999999999997	-0.1876808712166861
2.851	4.359999999999995	10.209999999999997	-0.18803555216106252
2.852	4.359999999999995	10.214999999999998	-0.17456954851878803
2.853	4.359999999999995	10.214999999999998	-0.17488089322469896
2.854	4.359999999999995	10.219999999999997	-0.1865324122263604
2.855	4.359999999999995	10.219999999999997	-0.1866843987924119
2.856	4.359999999999995	10.219999999999997	-0.18682803033241782
2.857	4.359999999999995	10.224999999999998	-0.17317527944101943
2.858	4.359999999999995	10.224999999999998	-0.1733574800132136
2.859	4.364999999999995	10.224999999999998	-0.18304703424923435
2.86	4.364999999999995	10.224999999999998	-0.18325481716060116
2.861	4.364999999999995	10.224999999999998	-0.18345388178392058
2.862	4.364999999999995	10.224999999999998	-0.18364422811919348
2.863	4.364999999999995	10.224999999999998	-0.18382585616641905
2.864	4.364999999999995	10.224999999999998	-0.18399876592559722
2.865	4.364999999999995	10.224999999999998	-0.184162957396729
2.866	4.364999999999995	10.224999999999998	-0.18431843057981337
2.867	4.364999999999995	10.229999999999999	-0.19635985161009137
2.868	4.369999999999995	10.229999999999999	-0.1987309386694627
2.869	4.369999999999995	10.234999999999998	-0.20524643974502926
2.87	4.369999999999995	10.234999999999998	-0.20548972313577532
2.871	4.369999999999995	10.234999999999998	-0.20572410660747364
2.872	4.369999999999995	10.234999999999998	-0.2059495901601234
2.873	4.374999999999996	10.239999999999998	-0.20877195326753537
2.874	4.3799999999999955	10.239999999999998	-0.2054497510630335
2.875	4.384999999999995	10.244999999999997	-0.21459776887929452
2.876	4.384999999999995	10.249999999999998	-0.2016550407797263
2.8770000000000002	4.384999999999995	10.254999999999999	-0.2023810964543033
2.878	4.384999999999995	10.259999999999998	-0.21023703803714713
2.879	4.384999999999995	10.259999999999998	-0.21044330060140592
2.88	4.384999999999995	10.259999999999998	-0.2106406632466165
2.8810000000000002	4.384999999999995	10.264999999999997	-0.20878074891616297
2.882	4.384999999999995	10.264999999999997	-0.20900028642561574
2.883	4.389999999999995	10.264999999999997	-0.21417968996212974
2.884	4.389999999999995	10.269999999999998	-0.20379639070728728
2.8850000000000002	4.389999999999995	10.269999999999998	-0.20398224055332842
2.886	4.389999999999995	10.269999999999998	-0.20415900884932014
2.887	4.389999999999995	10.274999999999997	-0.20485506502641443
2.888	4.389999999999995	10.289999999999997	-0.18269863104942796
2.8890000000000002	4.394999999999996	10.294999999999996	-0.21612470786332585
2.89	4.394999999999996	10.294999999999996	-0.21628865494197452
2.891	4.394999999999996	10.299999999999997	-0.2094386053571075
2.892	4.399999999999996	10.309999999999997	-0.23524450925692528
2.8930000000000002	4.404999999999995	10.319999999999997	-0.24146763607521493
2.894	4.404999999999995	10.324999999999998	-0.2405208415406834
2.895	4.404999999999995	10.329999999999997	-0.23504449018120552
2.896	4.409999999999995	10.329999999999997	-0.2453043313103801
2.8970000000000002	4.409999999999995	10.329999999999997	-0.24558698796566428
2.898	4.409999999999995	10.329999999999997	-0.24586128959490283
2.899	4.414999999999995	10.329999999999997	-0.2560960656459422
2.9	4.414999999999995	10.329999999999997	-0.25651376886301275
2.9010000000000002	4.419999999999995	10.334999999999997	-0.25349116900154456
2.902	4.4249999999999945	10.334999999999997	-0.25012445297606445
2.903	4.4249999999999945	10.334999999999997	-0.2505433974187919
2.904	4.4249999999999945	10.344999999999995	-0.25669265666383567
2.9050000000000002	4.429999999999994	10.344999999999995	-0.2494046948994139
2.906	4.429999999999994	10.359999999999996	-0.2429509771263817
2.907	4.429999999999994	10.359999999999996	-0.24352130036309289
2.908	4.434999999999995	10.359999999999996	-0.21850466593056936
2.9090000000000003	4.434999999999995	10.364999999999995	-0.2184139926463357
2.91	4.434999999999995	10.364999999999995	-0.21888374179440312
2.911	4.434999999999995	10.374999999999995	-0.249069332371044
2.912	4.434999999999995	10.374999999999995	-0.24941182552138963
2.9130000000000003	4.434999999999995	10.384999999999994	-0.2528101233884882
2.914	4.434999999999995	10.384999999999994	-0.2532213909118174
2.915	4.439999999999995	10.389999999999995	-0.2563738557607321
2.916	4.439999999999995	10.389999999999995	-0.2567333641287545
2.9170000000000003	4.439999999999995	10.389999999999995	-0.25708379094672795
2.918	4.439999999999995	10.389999999999995	-0.2574251362146526
2.919	4.439999999999995	10.389999999999995	-0.25775739993252755
2.92	4.439999999999995	10.399999999999997	-0.24198969592215416
2.9210000000000003	4.444999999999995	10.404999999999996	-0.24717901787765967
2.922	4.449999999999995	10.404999999999996	-0.25656368398025925
2.923	4.454999999999995	10.404999999999996	-0.2669699809891538
2.924	4.469999999999995	10.404999999999996	-0.2645470964545186
2.9250000000000003	4.469999999999995	10.404999999999996	-0.2649625601785412
2.926	4.469999999999995	10.404999999999996	-0.26536876072151333
2.927	4.469999999999995	10.409999999999995	-0.2678114779851823
2.928	4.469999999999995	10.409999999999995	-0.26825724967337244
2.9290000000000003	4.469999999999995	10.409999999999995	-0.26869357654951137
